Disease,Location,Doctor,,
Drug Reaction,Vijayawada,https://www.practo.com/vijayawada/treatment-for-drug-allergy,,
Drug Reaction,Vijayawada,https://www.lybrate.com/vijayawada/doctor/dr-swapna-sri-boppana-general-physician,,
Drug Reaction,Vijayawada,https://www.lybrate.com/vijayawada/doctor/dr-c-purnachandra-rao-general-physician,,
Drug Reaction,Vijayawada,https://www.lybrate.com/vijayawada/doctor/dr-y-umamaheswara-rao-general-physician,,
Drug Reaction,Vijayawada,https://www.lybrate.com/vijayawada/doctor/dr-manne-naga-bhaskararamba-general-physician,,
Peptic ulcer diseae,Vijayawada,https://www.practo.com/vijayawada/doctor/dr-nalini-prasad-ippela,,
Peptic ulcer diseae,Vijayawada,https://g.co/kgs/iXBKX8,,https://g.co/kgs/iXBKX8
Peptic ulcer diseae,Vijayawada,https://g.co/kgs/67VakM,,
Peptic ulcer diseae,Vijayawada,https://g.co/kgs/APiyCp,,
Peptic ulcer diseae,Vijayawada,https://g.co/kgs/sjr2AW,,
AIDS,Vijayawada,http://drbujjibabuhivclinic.in/,,
AIDS,Vijayawada,http://hmfw.ap.gov.in/,,
AIDS,Vijayawada,https://www.lybrate.com/,,
AIDS,Vijayawada,https://www.sulekha.com/,,
AIDS,Vijayawada,https://www.practo.com/,,
Diabetes,Vijayawada,https://drmohans.com/,,
Diabetes,Vijayawada,https://doctorspages.in/,,
Diabetes,Vijayawada,https://vgrdiabetes.in/,,
Diabetes,Vijayawada,https://threebestrated.in/,,
Diabetes,Vijayawada,https://www.drpramodtripathi.com/,,
Gastroenteritis,Vijayawada,https://www.practo.com/vijayawada/doctor/dr-phani-kumar-,,
Gastroenteritis,Vijayawada,https://www.practo.com/vijayawada/doctor/malempati-,,
Gastroenteritis,Vijayawada,https://www.practo.com/vijayawada/doctor/nithin-nandigam,,
Gastroenteritis,Vijayawada,https://www.practo.com/vijayawada/doctor/anusha-gaddam,,
Gastroenteritis,Vijayawada,https://www.practo.com/vijayawada/doctor/mounika-sola-general-,,
Bronchial Asthma,Vijayawada,https://www.lybrate.com/vijayawada/doctor/dr-prasad-babu-ch-pulmonologist,,
Bronchial Asthma,Vijayawada,https://www.lybrate.com/vijayawada/doctor/dr-venkata-sai-prasad-reddy-pulmonologist,,
Bronchial Asthma,Vijayawada,https://www.lybrate.com/vijayawada/doctor/dr-t-jayaprakash-pulmonologist,,
Bronchial Asthma,Vijayawada,https://www.lybrate.com/vijayawada/doctor/dr-srinivasa-kumar-ravipati-pulmonologist,,
Bronchial Asthma,Vijayawada,https://www.lybrate.com/vijayawada/doctor/dr-mvss-ramakrishna-homeopath-1,,
Hypertension,Vijayawada,https://g.co/kgs/db8dVE,,
Hypertension,Vijayawada,https://g.co/kgs/S43Unf,,
Hypertension,Vijayawada,https://g.co/kgs/cXj7XN,,
Hypertension,Vijayawada,https://g.co/kgs/GU9gJV,,
